Name	            Account name	        Searched Keywords and hashtags	            Number of Tweets
Lawrence Ati Zigi	@ZigiLawrence	    Lawrence Ati Zigi, #ZigiLawrence	            338
Ibrahim Danlad	    @danlad_ibrahim	    Ibrahim Danlad, #danlad_ibrahim	                616
Manaf Nurudeen	    No Account	        Manafnurudeen, Manaf Nurudeen, #ManafNurudeen	48
Tariq Lamptey	    @TariqLamptey	    Tariq Lamptey, #TariqLamptey	                2,876
Denis Odoi	        No Account	        Denisodoi, Denis Odoi, #DenisOdoi	            249
Mohammed Salisu	    @salisu_sariki	    MOHAMMED SALISU, #salisumohammed	            1,954
Gideon Mensah	    @gideonmensah_14	Gideon Mensah, #GideonMensah	                3,779
Joseph Aidoo	    No Account	        Josephaidoo, Joseph Aidoo, #JosephAidoo	        138
Baba Rahman	        @babarahmangh	    baba abdul-rahman, #babarahman	                245
Daniel Amartey	    @DanAmartey	        Daniel Amartey, #DanielAmartey	                992
Alexander Djiku	    @alex_djiku	        Alexander Djiku, #AlexanderDjiku	            1,856
Seidu Alidu	        @AliduSeidu15	    Alidu Seidu Salis, #AliduSeidu	                294
Thomas Partey	    @Thomaspartey22	    Thomas partey, #Thomaspartey	                6,955
Elisha Owusu	    No Account	        ElishaOwusu, Elisha Owusu, #ElishaOwusu	        275
Fatawu Issahaku	    @AbdulFatawu10	    Abdul Fatawu Issahaku, #AbdulFatawu	            62
Daniel Kofi Kyereh	@kofi_kyere17	    Daniel Kofi Kyereh, #kofi_kyere17	            264
Osman Bukari	    @OsmanBukari9	    Osman Bukari, #OsmanBukari	                    2,430
Daniel A. Barnieh	@Afriyie_Barnieh	Afriyie Barnieh, #AfriyieBarnieh	            950
Mohammed Kudus	    @KudusMohammedGH	Kuku Mo, #KukuMo, #KudusMohammedGH, KudusMohammedGH	280
Salis Abdul Samed	@AbdulSamedSali	    Abdul Samed Salis, #AbdulSamedSali	            688
Kamaldeen Sulemana	@Kamaldeenho10	    Kamaldeen Sulemana, #Kamaldeenho	            1,153
Kamal Sowah	        @SowahKamal	        Kamal Sowah, #KamalSowah	                    362
Jordan Ayew	        @jordan_ayew9	    jordan ayew, #jordanayew	                    18,304
Andre Ayew	        @AyewAndre	        AyewAndre, #AndreAyew, DedeAyew, #DedeAyew	    4,786
Inaki Williams	    @Williaaams45	    Inaki Williams, #InakiWilliams	                15,615
Antoine Semenyo	    @antoinesemenyo1	Antione Semenyo, #antoinesemenyo	            12
